Year,Month,tourists,revenue,Tavg,Tmax,Tmin,rain_days,hot_days,cold_days,CCI
2019,6,1471.26,230.37,28.066666666666666,31.233333333333334,24.9,24,1,0,52.13440179444611
2019,7,1300.19,171.74,30.241935483870968,34.41935483870968,26.06451612903226,12,17,0,35.320484850151004
2019,8,1372.96,174.37,30.338709677419356,34.516129032258064,26.161290322580644,8,18,0,35.4557677077723
2019,9,1639.97,236.88,28.333333333333332,33.0,23.666666666666668,1,10,0,52.378880043307824
2019,10,848.98,96.12,20.096774193548388,24.225806451612904,15.96774193548387,9,0,0,86.25002858444671
2019,11,725.63,82.48,14.75,19.733333333333334,9.766666666666667,3,0,0,47.57269595653143
2019,12,1806.79,257.8,12.112903225806452,14.741935483870968,9.483870967741936,12,0,2,32.204914802425016
2021,3,,,18.080645161290324,20.483870967741936,15.67741935483871,15,0,0,63.50692761888925
2021,4,,,22.533333333333335,24.966666666666665,20.1,15,0,0,73.99303677909695
2021,5,,,25.596774193548388,29.032258064516128,22.161290322580644,15,2,0,67.94045727428684
2021,6,,,29.683333333333334,32.733333333333334,26.633333333333333,5,8,0,39.303177942429464
2021,7,,,31.338709677419356,35.483870967741936,27.193548387096776,0,20,0,28.316035940961363
2021,8,,,30.516129032258064,34.516129032258064,26.516129032258064,0,17,0,33.758411408210755
2021,9,,,27.383333333333333,31.0,23.766666666666666,4,9,0,50.01677207983917
2021,10,,,17.532258064516128,20.193548387096776,14.870967741935484,10,0,0,67.36112640362262
2021,11,,,15.033333333333333,18.833333333333332,11.233333333333333,6,0,0,47.49415643642414
2021,12,,,10.516129032258064,13.161290322580646,7.870967741935484,7,0,5,26.167456652100807
2022,3,,,18.887096774193548,23.161290322580644,14.612903225806452,10,0,0,69.55074800685824
2022,4,,,20.583333333333332,23.833333333333332,17.333333333333332,17,0,0,75.52061132474027
2022,5,,,24.516129032258064,27.096774193548388,21.93548387096774,19,0,0,74.7590701895339
2022,6,,,28.1,31.066666666666666,25.133333333333333,11,4,0,52.09694836160444
2022,7,,,30.725806451612904,34.903225806451616,26.548387096774192,2,16,0,32.451191465829574
2022,8,,,30.612903225806452,35.096774193548384,26.129032258064516,1,19,0,34.374725034240036
2022,9,,,27.35,31.766666666666666,22.933333333333334,2,12,0,51.74084570012397
2022,10,,,23.56451612903226,27.806451612903224,19.322580645161292,0,0,0,84.55934587437157
2022,11,,,13.3,15.733333333333333,10.866666666666667,12,0,4,43.72090315652631
2022,12,,,12.290322580645162,15.935483870967742,8.64516129032258,3,0,6,32.714633914660496
2023,3,,,17.741935483870968,20.35483870967742,15.129032258064516,13,0,0,65.10821234143363
2023,4,,,21.333333333333332,24.366666666666667,18.3,13,0,0,80.40656387360123
2023,5,,,27.467741935483872,31.225806451612904,23.70967741935484,16,7,0,54.624665516593765
2023,6,,,29.283333333333335,32.2,26.366666666666667,13,7,0,43.004570419278934
2023,7,,,30.693548387096776,34.45161290322581,26.93548387096774,5,18,0,32.72127659900118
2023,8,,,27.93548387096774,31.06451612903226,24.806451612903224,11,3,0,54.29740423006246
2023,9,,,26.4,29.866666666666667,22.933333333333334,1,1,0,62.966432406232876
2023,10,,,21.177419354838708,24.967741935483872,17.387096774193548,13,0,0,77.07792440129799
2023,11,,,16.233333333333334,20.466666666666665,12.0,4,0,0,60.14164232162026
2023,12,,,11.274193548387096,14.483870967741936,8.064516129032258,10,0,11,30.912138402933063
2024,3,,,20.758064516129032,23.70967741935484,17.806451612903224,9,0,0,76.19316704755362
2024,4,,,23.0,26.1,19.9,13,0,0,85.14250005331026
2024,5,,,25.741935483870968,28.580645161290324,22.903225806451612,10,1,0,71.58970515989165
2024,6,,,28.55,31.266666666666666,25.833333333333332,14,6,0,48.719702232551796
2024,7,,,30.370967741935484,34.03225806451613,26.70967741935484,8,17,0,35.69414623512203
2024,8,,,29.903225806451612,33.96774193548387,25.838709677419356,10,16,0,37.739831189335746
2024,9,,,26.15,29.866666666666667,22.433333333333334,2,3,0,70.25357008328646
2024,10,,,22.370967741935484,26.322580645161292,18.419354838709676,2,0,0,91.31595846259304
2024,11,,,14.35,17.333333333333332,11.366666666666667,3,0,0,46.65226021590093
2024,12,,,11.887096774193548,15.838709677419354,7.935483870967742,1,0,3,27.278150018139478
