raw_date,tmax,tmin,day_weather,night_weather,wind_dir,wind_power,Tmax,Tmin,Date,Year,Month,Quarter,Tavg,S_temp,S_weather,S_wind,CCI,SI,SI_score,CCI_owci,CCI_level,SI_level,OWCI_level,CCI_9ma,OWCI_9ma
46105,13 ℃,7 ℃,小雨,小雨,北风,微风,13.0,7.0,2011-03-13,2011,3,1,10.0,0.07730474044329971,0.65,1.0,15.874031471000984,11.020000000000001,39.317180616740075,43.80849381510157,5-最不舒适,4-较不舒适,3-正常,,
46106,14 ℃,9 ℃,阴,小雨,北风,微风,14.0,9.0,2011-03-14,2011,3,1,11.5,0.14085842092104503,0.7250000000000001,1.0,20.51835989841127,10.0,44.93392070484582,50.52090502851123,4-较不舒适,4-较不舒适,3-正常,,
46107,13 ℃,9 ℃,多云,小雨,北风,微风,13.0,9.0,2011-03-15,2011,3,1,11.0,0.1163548028087039,0.8,1.0,19.992138111496192,10.34,43.06167400881057,49.576473180573814,4-较不舒适,4-较不舒适,3-正常,,
46108,17 ℃,6 ℃,阴,多云,北风,微风,17.0,6.0,2011-03-16,2011,3,1,11.5,0.14085842092104503,0.875,1.0,22.396618095736432,10.0,44.93392070484582,52.76950104972773,4-较不舒适,4-较不舒适,3-正常,,
46109,23 ℃,7 ℃,多云,多云,北风,微风,23.0,7.0,2011-03-17,2011,3,1,15.0,0.4184863060425645,0.95,1.0,44.85254896681889,7.62,58.03964757709251,65.117174597193,3-正常,4-较不舒适,3-正常,,
46110,23 ℃,11 ℃,多云,多云,北风,微风,23.0,11.0,2011-03-18,2011,3,1,17.0,0.6411803884299546,0.95,1.0,65.3802926849233,6.260000000000001,65.52863436123349,77.6272427389852,3-正常,3-正常,2-较舒适,,
46111,18 ℃,12 ℃,阴,小雨,北风,微风,18.0,12.0,2011-03-19,2011,3,1,15.0,0.4184863060425645,0.7250000000000001,1.0,43.60105891191217,7.62,58.03964757709251,69.15786108198999,3-正常,4-较不舒适,3-正常,,
46112,21 ℃,13 ℃,小雨,小雨,北风,微风,21.0,13.0,2011-03-20,2011,3,1,17.0,0.6411803884299546,0.65,1.0,64.16986594823997,6.260000000000001,65.52863436123349,76.11171482207735,3-正常,3-正常,2-较舒适,,
46113,24 ℃,15 ℃,多云,小雨,南风,微风,24.0,15.0,2011-03-21,2011,3,1,19.5,0.8948393168143698,0.8,1.0,88.77712026020546,4.5600000000000005,74.88986784140968,85.0178354713132,2-较舒适,3-正常,1-最舒适,,
46114,20 ℃,14 ℃,小雨,小雨,北风,微风,20.0,14.0,2011-03-22,2011,3,1,17.0,0.6411803884299546,0.65,1.0,64.16986594823997,6.260000000000001,65.52863436123349,77.59747463387154,3-正常,3-正常,2-较舒适,,
46115,14 ℃,10 ℃,小雨,小雨,北风,微风,14.0,10.0,2011-03-23,2011,3,1,12.0,0.1690133154060661,0.65,1.0,21.628775607239533,9.66,46.80616740088106,51.67331109373017,4-较不舒适,4-较不舒适,3-正常,,
46116,12 ℃,6 ℃,小雨,小雨,北风,微风,12.0,6.0,2011-03-24,2011,3,1,9.0,0.04956628350491174,0.65,1.0,14.703449113048848,11.700000000000001,35.57268722466959,41.07388941212021,5-最不舒适,5-最不舒适,3-正常,,
46117,17 ℃,7 ℃,小雨,多云,南风,微风,17.0,7.0,2011-03-25,2011,3,1,12.0,0.1690133154060661,0.8,1.0,23.2964178564322,9.66,46.80616740088106,53.92168879932938,4-较不舒适,4-较不舒适,3-正常,,
46118,14 ℃,11 ℃,小雨,阴,北风,微风,14.0,11.0,2011-03-26,2011,3,1,12.5,0.2010011912257319,0.7250000000000001,1.0,24.816109881347742,9.32,48.6784140969163,55.27767175956213,4-较不舒适,4-较不舒适,3-正常,,
46119,16 ℃,12 ℃,中雨,中雨,北风,微风,16.0,12.0,2011-03-27,2011,3,1,14.0,0.32053052101554125,0.45,1.0,33.06629612625808,8.3,54.29515418502202,59.6505028843477,3-正常,4-较不舒适,3-正常,,
46120,14 ℃,11 ℃,小雨,小雨,北风,微风,14.0,11.0,2011-03-28,2011,3,1,12.5,0.2010011912257319,0.65,1.0,24.08379214744777,9.32,48.6784140969163,54.15267175956213,4-较不舒适,4-较不舒适,3-正常,,
46121,17 ℃,12 ℃,阴,阴,北风,微风,17.0,12.0,2011-03-29,2011,3,1,14.5,0.36787944117144233,0.8,1.0,39.45283093604476,7.960000000000001,56.16740088105727,68.00240896555793,3-正常,4-较不舒适,3-正常,,
